11:26:56.102 [INFO]  [Preparing] Diffblue Cover 2023.12.02-e4c4274-licensed
11:27:02.860 [INFO]  [Checking] > [INFO] Copying 0 resource from src\main\resources to target\classes
11:27:02.860 [INFO]  [Checking] > [INFO] 
11:27:02.860 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:compile (default-compile) @ simplejavacalculator ---
11:27:02.860 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:02.860 [INFO]  [Checking] > [INFO] 
11:27:02.860 [INFO]  [Checking] > [INFO] --- resources:3.3.1:testResources (default-testResources) @ simplejavacalculator ---
11:27:02.860 [INFO]  [Checking] > [INFO] skip non existing resourceDirectory C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\resources
11:27:02.860 [INFO]  [Checking] > [INFO] 
11:27:02.860 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:testCompile (default-testCompile) @ simplejavacalculator ---
11:27:02.860 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:02.860 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:02.860 [INFO]  [Checking] > [INFO] BUILD SUCCESS
11:27:02.860 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:02.860 [INFO]  [Checking] > [INFO] Total time:  1.159 s
11:27:02.860 [INFO]  [Checking] > [INFO] Finished at: 2024-01-04T11:27:02+05:30
11:27:02.860 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:02.861 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:27:02.863 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -D output=diffblue.effective-pom.output.xml -D checkstyle.skip=true -D mdep.outputFile=diffblue-cp.txt -D mdep.pathSeparator=#SEP# -D includeScope=test -D spring-javaformat.skip=true -D license.skip=true -D maven.compiler.failOnError=false -D mdep.outputProperty=build.classpath -D maven.ext.class.path=C:\Users\Soham.P\Downloads\diffblue-cover-cli-2023.12.02\cover-buildsystem-maven-spy-jar-with-dependencies.jar -D spotless.check.skip=true test-compile org.apache.maven.plugins:maven-help-plugin:3.2.0:effective-pom org.apache.maven.plugins:maven-dependency-plugin:3.3.0:build-classpath org.apache.maven.plugins:maven-help-plugin:3.2.0:evaluate -am"
11:27:07.907 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:07.907 [INFO]  [Checking] > [INFO] Scanning for projects...
11:27:07.907 [INFO]  [Checking] > [INFO] 
11:27:07.907 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:07.907 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:07.907 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:07.907 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:07.907 [INFO]  [Checking] > [INFO] 
11:27:07.908 [INFO]  [Checking] > [INFO] --- resources:3.3.1:resources (default-resources) @ simplejavacalculator ---
11:27:07.908 [INFO]  [Checking] > [INFO] Copying 0 resource from src\main\resources to target\classes
11:27:07.908 [INFO]  [Checking] > [INFO] 
11:27:07.908 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:compile (default-compile) @ simplejavacalculator ---
11:27:07.908 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:07.908 [INFO]  [Checking] > [INFO] 
11:27:07.908 [INFO]  [Checking] > [INFO] --- resources:3.3.1:testResources (default-testResources) @ simplejavacalculator ---
11:27:07.908 [INFO]  [Checking] > [INFO] skip non existing resourceDirectory C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\resources
11:27:07.908 [INFO]  [Checking] > [INFO] 
11:27:07.908 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:testCompile (default-testCompile) @ simplejavacalculator ---
11:27:07.908 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:07.908 [INFO]  [Checking] > [INFO] 
11:27:07.909 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:07.909 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:07.909 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:07.909 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:07.909 [INFO]  [Checking] > [INFO] 
11:27:07.909 [INFO]  [Checking] > [INFO] --- help:3.2.0:effective-pom (default-cli) @ simplejavacalculator ---
11:27:07.909 [INFO]  [Checking] > [INFO] Effective-POM written to: C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\diffblue.effective-pom.output.xml
11:27:07.909 [INFO]  [Checking] > [INFO] 
11:27:07.909 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:07.909 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:07.909 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:07.910 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:07.910 [INFO]  [Checking] > [INFO] 
11:27:07.910 [INFO]  [Checking] > [INFO] --- dependency:3.3.0:build-classpath (default-cli) @ simplejavacalculator ---
11:27:07.910 [INFO]  [Checking] > [INFO] Wrote classpath file 'C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\diffblue-cp.txt'.
11:27:07.910 [INFO]  [Checking] > [INFO] 
11:27:07.910 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:07.910 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:07.910 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:07.910 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:07.910 [INFO]  [Checking] > [INFO] 
11:27:07.911 [INFO]  [Checking] > [INFO] --- help:3.2.0:evaluate (default-cli) @ simplejavacalculator ---
11:27:07.911 [INFO]  [Checking] > [ERROR] Maven is configured to NOT interact with the user for input. This Mojo requires that 'interactiveMode' in your settings file is flag to 'true'.
11:27:07.912 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:07.912 [INFO]  [Checking] > [INFO] BUILD SUCCESS
11:27:07.912 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:07.912 [INFO]  [Checking] > [INFO] Total time:  3.128 s
11:27:07.912 [INFO]  [Checking] > [INFO] Finished at: 2024-01-04T11:27:07+05:30
11:27:07.912 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:08.038 [INFO]  [Checking] Operating System: Windows 10 amd64 10.0
11:27:08.038 [INFO]  [Checking] Default charset: UTF-8
11:27:08.038 [INFO]  [Checking] Default locale: en_IN
11:27:08.038 [INFO]  [Checking] Default time zone: Asia/Calcutta
11:27:08.067 [INFO]  [Checking] Discovered modules:
11:27:08.067 [INFO]  [Checking] - org.example:simplejavacalculator
11:27:08.074 [INFO]  [Checking] 
11:27:08.075 [INFO]  [Checking] [1/1] Creating tests for module: org.example:simplejavacalculator
11:27:08.075 [INFO]  [Checking] =================================================================
11:27:08.076 [INFO]  [Checking] 
11:27:08.076 [INFO]  [Checking] Detecting environment:
11:27:08.077 [INFO]  [Checking] ----------------------
11:27:08.139 [INFO]  [Checking] Detected Java version 21.0.1
11:27:08.145 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:27:08.146 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -version"
11:27:08.496 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:08.496 [INFO]  [Checking] > Apache Maven 3.9.4 (dfbb324ad4a7c8fb0bf182e6d91b0ae20e3d2dd9)
11:27:08.496 [INFO]  [Checking] > Maven home: C:\Program Files\apache-maven-3.9.4
11:27:08.496 [INFO]  [Checking] > Java version: 21.0.1, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk-21.0.1
11:27:08.497 [INFO]  [Checking] > Default locale: en_IN, platform encoding: UTF-8
11:27:08.497 [INFO]  [Checking] > OS name: "windows 10", version: "10.0", arch: "amd64", family: "windows"
11:27:08.511 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:27:08.514 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -D output=diffblue.effective-pom.output.xml -D checkstyle.skip=true -D mdep.outputFile=diffblue-cp.txt -D mdep.pathSeparator=#SEP# -D includeScope=test -D spring-javaformat.skip=true -D license.skip=true -D maven.compiler.failOnError=false -D mdep.outputProperty=build.classpath -D maven.ext.class.path=C:\Users\Soham.P\Downloads\diffblue-cover-cli-2023.12.02\cover-buildsystem-maven-spy-jar-with-dependencies.jar -D spotless.check.skip=true test-compile -am"
11:27:11.401 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:11.401 [INFO]  [Checking] > [INFO] Scanning for projects...
11:27:11.401 [INFO]  [Checking] > [INFO] 
11:27:11.401 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:11.401 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:11.401 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:11.401 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:11.401 [INFO]  [Checking] > [INFO] 
11:27:11.401 [INFO]  [Checking] > [INFO] --- resources:3.3.1:resources (default-resources) @ simplejavacalculator ---
11:27:11.401 [INFO]  [Checking] > [INFO] Copying 0 resource from src\main\resources to target\classes
11:27:11.401 [INFO]  [Checking] > [INFO] 
11:27:11.402 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:compile (default-compile) @ simplejavacalculator ---
11:27:11.402 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:11.402 [INFO]  [Checking] > [INFO] 
11:27:11.402 [INFO]  [Checking] > [INFO] --- resources:3.3.1:testResources (default-testResources) @ simplejavacalculator ---
11:27:11.402 [INFO]  [Checking] > [INFO] skip non existing resourceDirectory C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\resources
11:27:11.402 [INFO]  [Checking] > [INFO] 
11:27:11.402 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:testCompile (default-testCompile) @ simplejavacalculator ---
11:27:11.402 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:11.402 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:11.403 [INFO]  [Checking] > [INFO] BUILD SUCCESS
11:27:11.403 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:11.403 [INFO]  [Checking] > [INFO] Total time:  0.995 s
11:27:11.403 [INFO]  [Checking] > [INFO] Finished at: 2024-01-04T11:27:11+05:30
11:27:11.403 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:11.403 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:27:11.405 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -D output=diffblue.effective-pom.output.xml -D checkstyle.skip=true -D mdep.outputFile=diffblue-cp.txt -D mdep.pathSeparator=#SEP# -D includeScope=test -D spring-javaformat.skip=true -D license.skip=true -D maven.compiler.failOnError=false -D mdep.outputProperty=build.classpath -D maven.ext.class.path=C:\Users\Soham.P\Downloads\diffblue-cover-cli-2023.12.02\cover-buildsystem-maven-spy-jar-with-dependencies.jar -D spotless.check.skip=true test-compile org.apache.maven.plugins:maven-help-plugin:3.2.0:effective-pom org.apache.maven.plugins:maven-dependency-plugin:3.3.0:build-classpath org.apache.maven.plugins:maven-help-plugin:3.2.0:evaluate -am"
11:27:16.297 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:16.297 [INFO]  [Checking] > [INFO] Scanning for projects...
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:16.297 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:16.297 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:16.297 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- resources:3.3.1:resources (default-resources) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] Copying 0 resource from src\main\resources to target\classes
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:compile (default-compile) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- resources:3.3.1:testResources (default-testResources) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] skip non existing resourceDirectory C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\resources
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:testCompile (default-testCompile) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:16.297 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:16.297 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:16.297 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- help:3.2.0:effective-pom (default-cli) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] Effective-POM written to: C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\diffblue.effective-pom.output.xml
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:16.297 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:16.297 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:16.297 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- dependency:3.3.0:build-classpath (default-cli) @ simplejavacalculator ---
11:27:16.297 [INFO]  [Checking] > [INFO] Wrote classpath file 'C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\diffblue-cp.txt'.
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:16.297 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:16.297 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:16.297 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:16.297 [INFO]  [Checking] > [INFO] 
11:27:16.297 [INFO]  [Checking] > [INFO] --- help:3.2.0:evaluate (default-cli) @ simplejavacalculator ---
11:27:16.298 [INFO]  [Checking] > [ERROR] Maven is configured to NOT interact with the user for input. This Mojo requires that 'interactiveMode' in your settings file is flag to 'true'.
11:27:16.298 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:16.298 [INFO]  [Checking] > [INFO] BUILD SUCCESS
11:27:16.298 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:16.298 [INFO]  [Checking] > [INFO] Total time:  3.039 s
11:27:16.298 [INFO]  [Checking] > [INFO] Finished at: 2024-01-04T11:27:16+05:30
11:27:16.298 [INFO]  [Checking] > [INFO] ------------------------------------------------------------------------
11:27:16.328 [INFO]  [Checking] Detected build system: Maven 3.9.4
11:27:16.331 [INFO]  [Checking] Operating System: Windows 10 amd64 10.0
11:27:16.331 [INFO]  [Checking] Default charset: UTF-8
11:27:16.331 [INFO]  [Checking] Default locale: en_IN
11:27:16.331 [INFO]  [Checking] Default time zone: Asia/Calcutta
11:27:16.332 [INFO]  [Checking] Selected build system: Maven
11:27:16.338 [INFO]  [Checking] Selected classpath from build system Maven
11:27:16.340 [INFO]  [Checking] Expanded classpath: 
C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\target\test-classes
C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\target\classes (code under test)
C:\Users\Soham.P\.m2\repository\org\mockito\mockito-core\5.8.0\mockito-core-5.8.0.jar
C:\Users\Soham.P\.m2\repository\net\bytebuddy\byte-buddy\1.14.10\byte-buddy-1.14.10.jar
C:\Users\Soham.P\.m2\repository\net\bytebuddy\byte-buddy-agent\1.14.10\byte-buddy-agent-1.14.10.jar
C:\Users\Soham.P\.m2\repository\org\objenesis\objenesis\3.3\objenesis-3.3.jar
C:\Users\Soham.P\.m2\repository\org\junit\jupiter\junit-jupiter-engine\5.10.0\junit-jupiter-engine-5.10.0.jar
C:\Users\Soham.P\.m2\repository\org\junit\platform\junit-platform-engine\1.10.0\junit-platform-engine-1.10.0.jar
C:\Users\Soham.P\.m2\repository\org\opentest4j\opentest4j\1.3.0\opentest4j-1.3.0.jar
C:\Users\Soham.P\.m2\repository\org\junit\platform\junit-platform-commons\1.10.0\junit-platform-commons-1.10.0.jar
C:\Users\Soham.P\.m2\repository\org\junit\jupiter\junit-jupiter-api\5.10.0\junit-jupiter-api-5.10.0.jar
C:\Users\Soham.P\.m2\repository\org\apiguardian\apiguardian-api\1.1.2\apiguardian-api-1.1.2.jar
11:27:16.567 [INFO]  [Checking] Detected test framework: JUnit Jupiter 5.10.0
11:27:16.575 [INFO]  [Checking] Detected JUnit Jupiter version 5.10.0
11:27:16.616 [INFO]  [Checking] Detected Mockito version 5.8.0
11:27:17.404 [INFO]  [Checking] Indexing...
11:27:18.003 [INFO]  [Checking] Selected test output directory: C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\java
11:27:18.020 [INFO]  [Checking] Maven Using ${maven.home} of: C:\Program Files\apache-maven-3.9.4.
11:27:18.029 [INFO]  [Checking] Maven Executing: cmd.exe /X /C ""C:\Program Files\apache-maven-3.9.4\bin\mvn.cmd" -B -D checkstyle.skip=true -D test=DummyJupiterDiffblueTest -D spring-javaformat.skip=true -D license.skip=true -D maven.ext.class.path=C:\Users\Soham.P\Downloads\diffblue-cover-cli-2023.12.02\cover-buildsystem-maven-spy-jar-with-dependencies.jar -D spotless.check.skip=true test -pl org.example:simplejavacalculator"
11:27:25.062 [INFO]  [Checking] Standard output of build tool (Maven)
11:27:25.062 [INFO]  [Checking] > [INFO] Scanning for projects...
11:27:25.062 [INFO]  [Checking] > [INFO] 
11:27:25.062 [INFO]  [Checking] > [INFO] ------------------< org.example:simplejavacalculator >------------------
11:27:25.062 [INFO]  [Checking] > [INFO] Building simplejavacalculator 1.0-SNAPSHOT
11:27:25.063 [INFO]  [Checking] > [INFO]   from pom.xml
11:27:25.063 [INFO]  [Checking] > [INFO] --------------------------------[ jar ]---------------------------------
11:27:25.063 [INFO]  [Checking] > [INFO] 
11:27:25.063 [INFO]  [Checking] > [INFO] --- resources:3.3.1:resources (default-resources) @ simplejavacalculator ---
11:27:25.063 [INFO]  [Checking] > [INFO] Copying 0 resource from src\main\resources to target\classes
11:27:25.063 [INFO]  [Checking] > [INFO] 
11:27:25.063 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:compile (default-compile) @ simplejavacalculator ---
11:27:25.063 [INFO]  [Checking] > [INFO] Nothing to compile - all classes are up to date
11:27:25.063 [INFO]  [Checking] > [INFO] 
11:27:25.063 [INFO]  [Checking] > [INFO] --- resources:3.3.1:testResources (default-testResources) @ simplejavacalculator ---
11:27:25.063 [INFO]  [Checking] > [INFO] skip non existing resourceDirectory C:\Users\Soham.P\Videos\PHD Work\Simple-Java-Calculator\simplejavacalculator\src\test\resources
11:27:25.063 [INFO]  [Checking] > [INFO] 
11:27:25.063 [INFO]  [Checking] > [INFO] --- compiler:3.11.0:testCompile (default-testCompile) @ simplejavacalculator ---
11:27:25.063 [INFO]  [Checking] > [INFO] Changes detected - recompiling the module! :source
11:27:25.063 [INFO]  [Checking] > [INFO] Compiling 1 source file with javac [debug target 20] to target\test-classes
11:27:25.063 [INFO]  [Checking] > [WARNING] system modules path not set in conjunction with -source 20
11:27:25.063 [INFO]  [Checking] > [INFO] 
11:27:25.063 [INFO]  [Checking] > [INFO] --- surefire:3.1.2:test (default-test) @ simplejavacalculator ---
11:27:25.063 [INFO]  [Checking] > [INFO] Using auto detected provider org.apache.maven.surefire.junitplatform.JUnitPlatformProvider
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-junit-platform/3.1.2/surefire-junit-platform-3.1.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-junit-platform/3.1.2/surefire-junit-platform-3.1.2.pom (4.7 kB at 11 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-providers/3.1.2/surefire-providers-3.1.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-providers/3.1.2/surefire-providers-3.1.2.pom (2.6 kB at 82 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/common-java5/3.1.2/common-java5-3.1.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/common-java5/3.1.2/common-java5-3.1.2.pom (2.8 kB at 156 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-launcher/1.9.2/junit-platform-launcher-1.9.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-launcher/1.9.2/junit-platform-launcher-1.9.2.pom (3.0 kB at 159 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-engine/1.9.2/junit-platform-engine-1.9.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-engine/1.9.2/junit-platform-engine-1.9.2.pom (3.2 kB at 128 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/opentest4j/opentest4j/1.2.0/opentest4j-1.2.0.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/opentest4j/opentest4j/1.2.0/opentest4j-1.2.0.pom (1.7 kB at 80 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-commons/1.9.2/junit-platform-commons-1.9.2.pom
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-commons/1.9.2/junit-platform-commons-1.9.2.pom (2.8 kB at 157 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-junit-platform/3.1.2/surefire-junit-platform-3.1.2.jar
11:27:25.063 [INFO]  [Checking] > [INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/surefire-junit-platform/3.1.2/surefire-junit-platform-3.1.2.jar (27 kB at 631 kB/s)
11:27:25.063 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/surefire/common-java5/3.1.2/common-java5-3.1.2.jar
11:27:25.064 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-launcher/1.9.2/junit-platform-launcher-1.9.2.jar
11:27:25.064 [INFO]  [Checking] > [INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/platform/junit-platform-engine/1.9.2/junit-platform-engine-1.9.2.jar
